"ID","STOCK_ID","PRICERANGE_CODE","CATEGORY_ID","PRICE","CURRENCY","HEIGHT","WIDTH","DEPTH","DIMENSIONUNIT_CODE","IMAGE","SUPPLIER_ID","BASEUNIT_CODE","WEIGHT","WEIGHTUNIT_CODE","NAME","DESCRIPTION","CREATED_BYUSER","MODIFIED_BYUSER","CREATED_AT","MODIFIED_AT"
"HT-1000","0f839a4f-0e62-4433-8d85-92af0842562d","3","d3feb9ac-9306-4bb2-9ca2-0c51834df83c","956.00","EUR","3.000","30.000","18.000","CM","image/HT-1000.jpg","4691df68-1e06-41bd-83db-f9cfe85264db","EA","4.200","KG","Notebook Basic 15","Notebook Basic 15 with 2,80 GHz quad core, 15"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro","al.wallace@itelo.info","jonathan.east@itelo.info","2001-06-21T07:11:02","2003-06-15T16:22:10"
"HT-1001","d4beccfc-4f6f-432b-bdcc-00908b34afc7","4","d3feb9ac-9306-4bb2-9ca2-0c51834df83c","1249.00","EUR","3.100","29.000","17.000","CM","image/HT-1001.jpg","f68bae4d-7edf-4903-a03e-ee7db1750bdd","EA","4.500","KG","Notebook Basic 17","Notebook Basic 17 with 2,80 GHz quad core, 17"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro","walter.winter@itelo.info","megan.wang@itelo.info","2001-03-26T07:15:09","2009-11-17T12:01:20"
"HT-1002","41b22e74-cb28-48e8-9a19-71a5b193fa8e","4","d3feb9ac-9306-4bb2-9ca2-0c51834df83c","1570.00","USD","2.500","28.000","19.000","CM","image/HT-1002.jpg","2b8fc053-48c9-4405-969f-d78a272d95cf","EA","4.200","KG","Notebook Basic 18","Notebook Basic 18 with 2,80 GHz quad core, 18"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro","john.dash@itelo.info","viola.gains@itelo.info","2001-03-02T10:03:02","2009-01-18T07:23:06"
"HT-1003","a809a0e3-44ad-458b-ab3d-348701672803","4","d3feb9ac-9306-4bb2-9ca2-0c51834df83c","1650.00","EUR","4.000","32.000","21.000","CM","image/HT-1003.jpg","1ef4c32f-cbe5-42b6-b4cb-d5d04dcf71a7","EA","4.200","KG","Notebook Basic 19","Notebook Basic 19 with 2,80 GHz quad core, 19"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro","john.smith@itelo.info","peter.douglas@itelo.info","2001-07-06T14:17:22","2003-09-27T20:23:17"
"HT-1007","251c563f-af56-477a-bbd6-18336e97619c","2","fe69d976-d541-4d1b-b68c-db4cada3b507","299.00","USD","3.000","32.000","22.000","CM","image/HT-1007.jpg","0a2b7819-6edb-4f61-82c6-35aae010b820","EA","0.200","KG","ITelO Vault","Digital Organizer with State-of-the-Art Storage Encryption","michael.miller@itelo.info","james.field@itelo.info","2001-09-28T19:09:02","2010-01-24T09:03:05"
"HT-1010","df4a1773-e4a7-40e4-9cd9-b322b716e9bd","4","d3feb9ac-9306-4bb2-9ca2-0c51834df83c","1999.00","EUR","3.000","33.000","20.000","CM","image/HT-1010.jpg","4a449764-56da-490a-9bf8-1d83a70dabdc","EA","4.300","KG","Notebook Professional 15","Notebook Professional 15 with 2,80 GHz quad core, 15"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro","joanne.rush@itelo.info","mary.watson@itelo.info","2001-12-24T08:06:13","2007-08-14T07:16:08"
"HT-1011","5599a67b-d1b4-4099-a224-66df148210ac","4","d3feb9ac-9306-4bb2-9ca2-0c51834df83c","2299.00","JPY","2.000","33.000","23.000","CM","image/HT-1011.jpg","e242b05e-2387-48cd-b99a-71e151bec5be","EA","4.100","KG","Notebook Professional 17","Notebook Professional 17 with 2,80 GHz quad core, 17"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro","ngoc@itelo.info","peter.douglas@itelo.info","2001-12-14T16:16:09","2003-03-09T15:00:03"
"HT-1020","a64a8a7b-6682-4764-a5be-1912417de7a7","2","fe69d976-d541-4d1b-b68c-db4cada3b507","459.00","EUR","17.000","10.000","1.800","CM","image/HT-1020.jpg","48f17066-7d6a-497e-96ed-737725f99b0b","EA","0.160","KG","ITelO Vault Net","Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications","hermann.hecker@itelo.info","james.field@itelo.info","2001-08-02T16:03:13","2014-04-13T16:13:20"
"HT-1021","3552e3c3-0a31-41cb-93dc-9fd3b4116ec7","2","fe69d976-d541-4d1b-b68c-db4cada3b507","149.00","MXN","18.000","11.000","1.700","CM","image/HT-1021.jpg","97045a3f-8500-431e-84e9-00fab6137bdc","EA","0.180","KG","ITelO Vault SAT","Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link","sally.spring@itelo.info","hermann.hecker@itelo.info","2001-01-30T13:13:10","2002-11-22T23:05:10"
"HT-1022","f576ac17-a851-4554-8114-1cbf1421fef1","4","fe69d976-d541-4d1b-b68c-db4cada3b507","1679.00","ARS","14.000","84.000","1.500","CM","image/HT-1022.jpg","c906b079-f2bb-4627-9a22-1505be53497e","EA","0.200","KG","Comfort Easy","32 GB Digital Assistant with high-resolution color screen","viola.gains@itelo.info","clark.kent@itelo.info","2001-01-03T02:22:02","2007-09-07T08:21:01"
"HT-1023","3653aa3b-4cea-4c7f-bd48-638795840480","3","fe69d976-d541-4d1b-b68c-db4cada3b507","512.00","USD","13.000","80.000","1.600","CM","image/HT-1023.jpg","0f547c76-721a-4dca-91bd-70ae6a679bc3","EA","0.800","KG","Comfort Senior","64 GB Digital Assistant with high-resolution color screen and synthesized voice output","walter.winter@itelo.info","karl.kessler@itelo.info","2001-11-08T17:23:23","2003-10-26T02:17:14"
"HT-1030","b1ab13ed-1514-4177-a710-ba25baaf6e5e","2","63813856-e643-41bf-a9b5-2579be66747e","230.00","EUR","36.000","37.000","12.000","CM","image/HT-1030.jpg","a345b941-71cd-4510-b653-48e30d6175dd","EA","21.000","KG","Ergo Screen E-I","Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm","rudolf.platte@itelo.info","kimuray@itelo.info","2001-12-30T02:08:05","2004-10-22T21:01:23"
"HT-1031","5376ceae-4c3c-464a-9819-75d3c974b1bc","2","63813856-e643-41bf-a9b5-2579be66747e","285.00","GBP","43.000","40.800","19.000","CM","image/HT-1031.jpg","979b969d-f59a-412c-bc17-94c8d4b4e6ad","EA","21.000","KG","Ergo Screen E-II","Optimum Hi-Resolution max. 1920 x 1200 @ 85Hz, Dot Pitch: 0.26mm","jonathan.east@itelo.info","peter.douglas@itelo.info","2001-01-14T01:06:12","2002-04-02T22:22:08"
"HT-1032","ec1d2abd-e6c8-49c0-a4ce-4e10b55f91e0","2","63813856-e643-41bf-a9b5-2579be66747e","345.00","EUR","43.000","40.800","19.000","CM","image/HT-1032.jpg","92c8bafd-10e8-4aa1-adef-543adac554cd","EA","21.000","KG","Ergo Screen E-III","Optimum Hi-Resolution max. 2560 x 1440 @ 85Hz, Dot Pitch: 0.25mm","hermann.hecker@itelo.info","jonathan.east@itelo.info","2001-11-14T23:02:13","2007-02-04T22:00:04"
"HT-1035","5624d81b-f963-44b9-a8ac-2ad60e14e15e","2","63813856-e643-41bf-a9b5-2579be66747e","399.00","USD","41.000","39.000","20.000","CM","image/HT-1035.jpg","6d59907b-9413-4880-9b16-a8345f739211","EA","14.000","KG","Flat Basic","Optimum Hi-Resolution max. 1600 x 1200 @ 85Hz, Dot Pitch: 0.24mm","john.nicols@itelo.info","peter.fuchs@itelo.info","2001-03-16T03:07:21","2005-03-28T19:05:03"
"HT-1036","fed385e6-5231-41c6-970b-e8cb735c31a5","2","63813856-e643-41bf-a9b5-2579be66747e","430.00","CAD","46.000","45.000","26.000","CM","image/HT-1036.jpg","68e0eff4-f410-459e-b49e-cff264269ab9","EA","15.000","KG","Flat Future","Optimum Hi-Resolution max. 2048 x 1080 @ 85Hz, Dot Pitch: 0.26mm","catherine.jones@itelo.info","changf@itelo.info","2001-04-21T19:04:01","2013-09-29T08:09:06"
"HT-1037","84e75882-ee42-42ca-bcb8-53d223402c49","4","63813856-e643-41bf-a9b5-2579be66747e","1230.00","MXN","39.100","54.500","22.100","CM","image/HT-1037.jpg","6ecde3e7-6b53-406d-8a27-2a312238d1f1","EA","17.000","KG","Flat XL","Optimum Hi-Resolution max. 2016 x 1512 @ 85Hz, Dot Pitch: 0.24mm","frank.brown@itelo.info","james.field@itelo.info","2001-02-18T06:13:12","2011-10-07T14:11:11"
